time,cpu,mem,diskRand,diskSeq
1605823529,1006.92,8949.23,2.40,107.20
1605825328,1016.62,9023.55,2.40,107.20
1605827124,1018.03,9051.58,2.39,104.13
1605828924,1018.94,9020.94,2.40,118.08
1605830721,1020.44,9075.42,2.40,113.99
1605832523,1020.74,9079.93,2.40,111.36
1605834320,1019.67,9069.08,2.39,120.05
1605836120,1018.41,9053.49,2.39,119.92
1605837921,1021.48,9077.62,2.39,120.23
1605839721,1021.98,9084.62,2.39,109.60
1605841524,1017.81,9066.77,2.39,119.39
1605843324,1020.72,9066.70,2.40,114.00
1605845124,1019.65,9071.61,2.40,118.36
1605846922,1019.51,9072.52,2.39,110.03
1605848721,1020.29,9050.44,2.40,119.71
1605850526,1021.72,9061.88,2.40,118.44
1605852325,1019.12,9060.05,2.39,117.14
1605854126,1011.74,9030.36,2.39,116.82
1605855924,1012.80,8982.74,2.39,108.53
1605857730,1005.55,8928.49,2.39,94.83
1605859535,999.11,8832.86,2.39,95.16
1605861332,986.17,8777.28,2.40,96.06
1605863143,979.80,8835.94,2.40,93.84
1605864936,981.76,8881.44,2.40,98.93
1605866729,983.65,8961.08,2.39,107.86
1605868534,998.15,8877.52,2.39,95.33
1605870338,991.18,8816.79,2.40,94.09
1605872129,999.31,8908.02,2.40,95.68